f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
68.12,5.63,56.51,8.34,59.23,2.97,71.27,-8.74,90.72,-0.3,1
49.84,16.03,55.97,6.59,53.81,3.35,62.62,-8.84,86.29,1.06,1
53.8,13.0,55.14,7.07,56.61,3.24,62.62,-8.84,85.95,1.19,1
51.88,12.53,56.2,7.31,55.7,1.92,60.89,-7.28,85.78,1.45,1
52.41,13.04,53.58,8.0,55.7,1.92,62.61,-7.86,85.07,1.67,1
50.17,14.11,53.58,8.0,53.29,1.6,61.67,-7.06,84.01,2.04,1
51.07,13.92,52.98,8.55,53.06,1.16,61.83,-7.99,83.98,2.05,1
51.07,13.92,53.24,8.9,52.73,1.22,62.0,-8.13,83.49,1.83,1
48.66,13.97,49.84,7.56,58.92,2.04,59.01,-7.93,83.7,1.52,1
46.64,13.47,53.87,7.13,52.35,0.47,59.01,-7.93,83.02,1.42,1
49.9,12.73,52.89,6.64,50.67,1.51,59.89,-9.07,82.24,2.02,1
46.68,16.69,49.79,9.24,50.67,1.51,56.23,-9.11,80.96,3.19,1
45.85,15.19,47.61,11.09,48.58,0.84,58.04,-6.26,79.44,3.53,1
45.68,16.05,47.61,11.09,47.44,1.5,56.27,-6.31,79.11,4.01,1
45.67,14.83,48.97,10.66,48.3,-0.62,54.25,-9.0,78.32,3.85,1
45.67,14.83,44.76,11.21,45.13,-0.19,52.96,-6.07,77.16,4.18,1
42.66,15.92,45.69,11.23,44.69,-1.36,51.17,-6.03,76.32,4.3,1
42.66,16.67,44.28,10.63,45.74,-0.45,51.17,-6.03,75.93,4.33,1
41.36,16.83,45.17,10.57,45.74,-1.03,52.45,-6.16,76.78,4.07,1
44.87,15.48,47.57,9.69,45.74,-1.03,57.02,-6.28,78.31,3.57,1
45.56,14.73,49.03,9.81,48.16,0.35,53.97,-6.96,79.58,3.18,1
46.06,14.61,49.03,9.81,48.84,0.44,56.39,-7.1,80.15,3.11,1
46.06,14.61,49.99,9.54,50.04,0.25,60.33,-6.75,81.12,3.01,1
46.08,14.66,51.56,9.97,50.14,1.24,59.77,-6.36,82.23,3.14,1
47.86,14.97,49.04,8.27,50.45,-0.28,59.77,-6.36,81.5,2.58,1
46.97,14.55,51.27,9.06,50.04,0.68,58.77,-7.33,81.96,2.58,1
46.89,14.62,51.15,8.2,50.04,0.68,59.74,-6.7,81.94,2.59,1
48.59,13.51,51.66,8.69,50.36,0.93,58.03,-8.03,82.27,2.3,1
48.1,13.4,51.66,8.69,49.3,0.64,56.94,-7.63,82.24,2.22,1
51.44,14.11,51.86,8.3,52.26,0.52,59.5,-7.89,82.14,2.11,1
51.44,14.11,47.15,9.32,49.33,0.48,50.61,-4.62,77.37,3.2,1
35.93,19.01,41.07,10.75,40.31,-2.46,46.94,-5.82,71.26,5.1,1
38.5,18.23,37.2,12.77,40.12,-2.09,46.94,-5.82,69.35,5.52,1
33.7,18.92,37.24,12.41,38.24,-4.65,42.2,-4.54,67.99,5.82,1
34.73,18.45,35.81,12.42,38.24,-4.65,43.59,-4.75,67.29,5.77,1
33.08,19.18,35.39,12.02,35.96,-4.58,42.31,-5.14,66.25,5.81,1
32.94,19.11,35.39,12.02,36.21,-5.07,41.79,-4.1,65.88,5.89,1
32.1,18.36,34.5,11.67,35.3,-4.79,41.38,-5.28,65.0,5.54,1
32.1,18.36,34.48,11.99,35.11,-6.11,39.75,-6.24,64.61,5.39,1
32.28,18.3,34.57,11.98,35.26,-5.59,40.09,-7.33,64.81,5.4,1
