f0x,f0y,f1x,f1y,f2x,f2y,f3x,f3y,roll,pitch,label
-35.33,5.57,-13.39,-4.22,16.73,26.67,-8.44,11.73,-32.97,9.25,6
-35.33,5.57,-12.54,-3.89,16.73,26.67,-8.44,11.73,-33.0,9.25,6
-35.33,5.57,-12.54,-3.89,16.42,27.22,-8.44,11.73,-32.99,9.35,6
-35.33,5.57,-12.54,-3.89,16.42,27.22,-7.77,12.08,-33.02,9.42,6
-34.21,5.64,-12.54,-3.89,16.42,27.22,-7.77,12.08,-32.89,9.7,6
-34.21,5.64,-12.54,-4.54,16.42,27.22,-7.77,12.08,-32.88,9.67,6
-34.21,5.64,-12.54,-4.54,17.27,27.2,-7.77,12.08,-32.93,9.56,6
-34.21,5.64,-12.54,-4.54,17.27,27.2,-8.13,12.31,-33.0,9.39,6
-35.38,5.35,-12.54,-4.54,17.27,27.2,-8.13,12.31,-32.98,9.43,6
-35.38,5.35,-12.73,-3.64,17.27,27.2,-8.13,12.31,-32.96,9.49,6
-35.38,5.35,-12.73,-3.64,16.42,27.76,-8.13,12.31,-32.92,9.5,6
-35.38,5.35,-12.73,-3.64,16.42,27.76,-8.19,12.15,-32.88,9.44,6
-35.8,5.71,-12.73,-3.64,16.42,27.76,-8.19,12.15,-32.92,9.33,6
-35.8,5.71,-12.89,-4.15,16.42,27.76,-8.19,12.15,-32.96,9.29,6
-35.8,5.71,-12.89,-4.15,17.01,26.79,-8.19,12.15,-32.99,9.23,6
-35.8,5.71,-12.89,-4.15,17.01,26.79,-7.64,11.63,-33.11,8.87,6
-35.64,5.16,-12.89,-4.15,17.01,26.79,-7.64,11.63,-33.12,8.93,6
-35.64,5.16,-13.11,-4.47,17.01,26.79,-7.64,11.63,-33.1,9.22,6
-35.64,5.16,-13.11,-4.47,16.3,27.11,-7.64,11.63,-32.99,9.14,6
-35.64,5.16,-13.11,-4.47,16.3,27.11,-7.5,11.43,-33.05,9.04,6
-35.05,6.15,-13.11,-4.47,16.3,27.11,-7.5,11.43,-33.12,9.11,6
-35.05,6.15,-12.33,-4.41,16.3,27.11,-7.5,11.43,-33.12,9.15,6
-35.05,6.15,-12.33,-4.41,17.62,27.0,-7.5,11.43,-33.15,9.18,6
